"Item.ID","Data_value","Units","Item","Year","Month_num","Month"
"CPIM.SAP0100",3.28,"Dollars","Oranges, 1kg",2012,1,"January"
"CPIM.SAP0100",3.15,"Dollars","Oranges, 1kg",2012,2,"February"
"CPIM.SAP0100",2.94,"Dollars","Oranges, 1kg",2012,3,"March"
"CPIM.SAP0100",3.16,"Dollars","Oranges, 1kg",2012,4,"April"
"CPIM.SAP0100",3.32,"Dollars","Oranges, 1kg",2012,5,"May"
"CPIM.SAP0100",3.31,"Dollars","Oranges, 1kg",2012,6,"June"
"CPIM.SAP0100",2.72,"Dollars","Oranges, 1kg",2012,7,"July"
"CPIM.SAP0100",2.54,"Dollars","Oranges, 1kg",2012,8,"August"
"CPIM.SAP0100",2.5,"Dollars","Oranges, 1kg",2012,9,"September"
"CPIM.SAP0100",2.57,"Dollars","Oranges, 1kg",2012,10,"October"
"CPIM.SAP0100",2.85,"Dollars","Oranges, 1kg",2012,11,"November"
"CPIM.SAP0100",3.31,"Dollars","Oranges, 1kg",2012,12,"December"
"CPIM.SAP0100",2.99,"Dollars","Oranges, 1kg",2013,1,"January"
"CPIM.SAP0100",2.78,"Dollars","Oranges, 1kg",2013,2,"February"
"CPIM.SAP0100",2.83,"Dollars","Oranges, 1kg",2013,3,"March"
"CPIM.SAP0100",2.75,"Dollars","Oranges, 1kg",2013,4,"April"
"CPIM.SAP0100",3.18,"Dollars","Oranges, 1kg",2013,5,"May"
"CPIM.SAP0100",3.31,"Dollars","Oranges, 1kg",2013,6,"June"
"CPIM.SAP0100",2.69,"Dollars","Oranges, 1kg",2013,7,"July"
"CPIM.SAP0100",2.69,"Dollars","Oranges, 1kg",2013,8,"August"
"CPIM.SAP0100",2.68,"Dollars","Oranges, 1kg",2013,9,"September"
"CPIM.SAP0100",2.76,"Dollars","Oranges, 1kg",2013,10,"October"
"CPIM.SAP0100",3.1,"Dollars","Oranges, 1kg",2013,11,"November"
"CPIM.SAP0100",3.51,"Dollars","Oranges, 1kg",2013,12,"December"
"CPIM.SAP0100",3.47,"Dollars","Oranges, 1kg",2014,1,"January"
"CPIM.SAP0100",3.48,"Dollars","Oranges, 1kg",2014,2,"February"
"CPIM.SAP0100",3.63,"Dollars","Oranges, 1kg",2014,3,"March"
"CPIM.SAP0100",3.88,"Dollars","Oranges, 1kg",2014,4,"April"
"CPIM.SAP0100",3.79,"Dollars","Oranges, 1kg",2014,5,"May"
"CPIM.SAP0100",3.45,"Dollars","Oranges, 1kg",2014,6,"June"
"CPIM.SAP0100",3.02,"Dollars","Oranges, 1kg",2014,7,"July"
"CPIM.SAP0100",2.36,"Dollars","Oranges, 1kg",2014,8,"August"
"CPIM.SAP0100",2.43,"Dollars","Oranges, 1kg",2014,9,"September"
"CPIM.SAP0100",2.52,"Dollars","Oranges, 1kg",2014,10,"October"
"CPIM.SAP0100",2.62,"Dollars","Oranges, 1kg",2014,11,"November"
"CPIM.SAP0100",3.09,"Dollars","Oranges, 1kg",2014,12,"December"
"CPIM.SAP0100",3.51,"Dollars","Oranges, 1kg",2015,1,"January"
"CPIM.SAP0100",3.63,"Dollars","Oranges, 1kg",2015,2,"February"
"CPIM.SAP0100",3.6,"Dollars","Oranges, 1kg",2015,3,"March"
"CPIM.SAP0100",3.67,"Dollars","Oranges, 1kg",2015,4,"April"
"CPIM.SAP0100",3.56,"Dollars","Oranges, 1kg",2015,5,"May"
"CPIM.SAP0100",3.57,"Dollars","Oranges, 1kg",2015,6,"June"
"CPIM.SAP0100",3.02,"Dollars","Oranges, 1kg",2015,7,"July"
"CPIM.SAP0100",2.81,"Dollars","Oranges, 1kg",2015,8,"August"
"CPIM.SAP0100",2.86,"Dollars","Oranges, 1kg",2015,9,"September"
"CPIM.SAP0100",2.75,"Dollars","Oranges, 1kg",2015,10,"October"
"CPIM.SAP0100",3.11,"Dollars","Oranges, 1kg",2015,11,"November"
"CPIM.SAP0100",3.43,"Dollars","Oranges, 1kg",2015,12,"December"
"CPIM.SAP0100",3.9,"Dollars","Oranges, 1kg",2016,1,"January"
"CPIM.SAP0100",3.94,"Dollars","Oranges, 1kg",2016,2,"February"
"CPIM.SAP0100",3.85,"Dollars","Oranges, 1kg",2016,3,"March"
"CPIM.SAP0100",3.86,"Dollars","Oranges, 1kg",2016,4,"April"
"CPIM.SAP0100",4,"Dollars","Oranges, 1kg",2016,5,"May"
"CPIM.SAP0100",3.65,"Dollars","Oranges, 1kg",2016,6,"June"
"CPIM.SAP0100",3.07,"Dollars","Oranges, 1kg",2016,7,"July"
"CPIM.SAP0100",2.76,"Dollars","Oranges, 1kg",2016,8,"August"
"CPIM.SAP0100",2.56,"Dollars","Oranges, 1kg",2016,9,"September"
"CPIM.SAP0100",2.81,"Dollars","Oranges, 1kg",2016,10,"October"
"CPIM.SAP0100",2.91,"Dollars","Oranges, 1kg",2016,11,"November"
"CPIM.SAP0100",3.47,"Dollars","Oranges, 1kg",2016,12,"December"
"CPIM.SAP0100",3.71,"Dollars","Oranges, 1kg",2017,1,"January"
"CPIM.SAP0100",3.78,"Dollars","Oranges, 1kg",2017,2,"February"
"CPIM.SAP0100",3.64,"Dollars","Oranges, 1kg",2017,3,"March"
"CPIM.SAP0100",3.65,"Dollars","Oranges, 1kg",2017,4,"April"
"CPIM.SAP0100",3.98,"Dollars","Oranges, 1kg",2017,5,"May"
"CPIM.SAP0100",4.04,"Dollars","Oranges, 1kg",2017,6,"June"
"CPIM.SAP0100",3.59,"Dollars","Oranges, 1kg",2017,7,"July"
"CPIM.SAP0100",3.42,"Dollars","Oranges, 1kg",2017,8,"August"
"CPIM.SAP0100",2.93,"Dollars","Oranges, 1kg",2017,9,"September"
"CPIM.SAP0100",2.83,"Dollars","Oranges, 1kg",2017,10,"October"
"CPIM.SAP0100",2.77,"Dollars","Oranges, 1kg",2017,11,"November"
"CPIM.SAP0100",3.71,"Dollars","Oranges, 1kg",2017,12,"December"
"CPIM.SAP0100",4.12,"Dollars","Oranges, 1kg",2018,1,"January"
"CPIM.SAP0100",4.21,"Dollars","Oranges, 1kg",2018,2,"February"
"CPIM.SAP0100",4.27,"Dollars","Oranges, 1kg",2018,3,"March"
"CPIM.SAP0100",4.18,"Dollars","Oranges, 1kg",2018,4,"April"
"CPIM.SAP0100",4.35,"Dollars","Oranges, 1kg",2018,5,"May"
"CPIM.SAP0100",4.3,"Dollars","Oranges, 1kg",2018,6,"June"
"CPIM.SAP0100",3.45,"Dollars","Oranges, 1kg",2018,7,"July"
"CPIM.SAP0100",2.82,"Dollars","Oranges, 1kg",2018,8,"August"
