"objectid","basic_colour","body_type","cc_rating","chassis7","first_nz_registration_year","first_nz_registration_month","gross_vehicle_mass","height","import_status","make","model","motive_power","number_of_axles","number_of_seats","nz_assembled","original_country","power_rating","previous_country","road_transport_code","submodel","TLA","transmission_type","vdam_weight","vehicle_type","vehicle_usage","vehicle_year"
13688,"silver","hatchback",1999,"",2010,1,1726,0,"new","Mazda","Mazda3","petrol",2,5,"imported built-up","Japan",108,"None","","sporthatch glx 2.0","Horowhenua District","5-gear auto",0,"passenger car/van","private passenger",2010
13689,"blue","hatchback",1798,"",2010,7,1805,0,"new","Toyota","Corolla","petrol",2,5,"imported built-up","Japan",100,"None","","1.8p glx hatch 5 4a","Christchurch City","4-gear auto",0,"passenger car/van","private passenger",2010
13690,"red","saloon",1231,"jhmfa04",1984,9,0,0,"new","Honda","City","petrol",0,5,"unknown","Not Known",0,"None","","","Auckland","",0,"passenger car/van","private passenger",1984
13691,"red","saloon",2500,"325904",1984,7,0,0,"new","Buick","Dy","petrol",0,5,"unknown","Not Known",0,"None","","","Christchurch City","",0,"passenger car/van","private passenger",1916
13692,"green","tractor",2900,"lv5400e",1995,11,0,0,"new","John Deere","5400","diesel",0,0,"unknown","United States",0,"None","","","Western Bay Of Plenty District","",0,"tractor","other",1995
13693,"white","domestic trailer",0,"",2000,3,0,0,"new","Trailer","Freeway Horse Float","",2,0,"nz assembled/built","New Zealand",0,"None","","","Hastings District","",0,"trailer/caravan","other goods",2000
13694,"red","hatchback",1493,"",2005,1,0,0,"new","Kia","Rio","petrol",0,5,"imported built-up","South Korea",78,"None","","liftback 1.5 4a ls","Central Otago District","4-gear auto",0,"passenger car/van","private passenger",2005
13695,"black","saloon",1991,"wbaan12",2003,11,0,0,"used","Bmw","320","petrol",0,5,"imported built-up","Germany",0,"Singapore","","i","Auckland","",0,"passenger car/van","private passenger",2000
13696,"silver","cab and chassis only",2488,"",2011,9,2860,0,"new","Nissan","Navara","diesel",2,3,"imported built-up","Thailand",98,"None","","dx 4wd s/c c/c 2.5d","Mackenzie District","5-gear manual",0,"goods van/truck/utility","other goods",2011
13697,"white","utility",2982,"",2010,2,2710,0,"new","Toyota","Hilux","diesel",2,5,"imported built-up","Thailand",126,"None","","3.0td 2wd dc 5m","Auckland","5-gear manual",0,"goods van/truck/utility","private passenger",2010
13698,"red","saloon",2156,"",1995,11,0,0,"new","Honda","Accord","petrol",1,0,"unknown","Japan",107,"None","","vti-s manual","Selwyn District","",0,"passenger car/van","private passenger",1995
13699,"blue","saloon",3781,"p206719",1968,1,0,0,"new","Jaguar","Mk Ii 3.8","petrol",0,5,"unknown","Not Known",0,"None","","","Waimakariri District","",0,"passenger car/van","private passenger",1961
13700,"black","saloon",3791,"",2004,5,0,0,"new","Holden","Commodore","petrol",0,5,"imported built-up","Australia",152,"None","","s v6 auto","Waipa District","4-gear auto",0,"passenger car/van","private passenger",2004
13701,"silver","saloon",1838,"p11-007",2003,1,0,0,"used","Nissan","Primera","petrol",0,5,"imported built-up","Japan",0,"Japan","","","Tararua District","",0,"passenger car/van","private passenger",1996
13702,"blue","saloon",1997,"",2005,1,0,0,"new","Peugeot","407","diesel",0,5,"imported built-up","France",100,"None","","hdi 2.0 5dr 4sp a p","Invercargill City","4-gear auto",0,"passenger car/van","private passenger",2005
13703,"silver","station wagon",1990,"wbaax52",2011,12,1705,0,"used","Bmw","320","petrol",2,5,"imported built-up","Germany",0,"Japan","","i","Dunedin City","",0,"passenger car/van","private passenger",2003
13704,"silver","hatchback",1330,"gd1-115",2011,11,1265,0,"used","Honda","Fit","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Christchurch City","",0,"passenger car/van","private passenger",2002
13705,"red","saloon",1998,"",2009,12,1850,0,"new","Mitsubishi","Lancer","petrol",0,5,"imported built-up","Japan",115,"None","","2.0p sx sedan auto","Napier City","continuously variable",0,"passenger car/van","private passenger",2009
13706,"white","saloon",1769,"qg10-01",2010,5,1445,0,"used","Nissan","Bluebird","petrol",0,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2001
13707,"red","hatchback",1290,"ncp60-0",2009,4,1285,0,"used","Toyota","Ist","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2002
13708,"black","hatchback",1997,"",2009,7,2190,0,"new","Ford","Mondeo","diesel",2,5,"imported built-up","Belgium",103,"None","","zetec 2.0td a","Waimakariri District","6-gear auto",0,"passenger car/van","private passenger",2009
13709,"gold","station wagon",1340,"dy3w-21",2009,5,1355,0,"used","Mazda","Demio","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2003
13710,"silver","station wagon",3984,"",2011,5,2572,0,"new","Ford","Territory","petrol",2,7,"imported built-up","Australia",195,"None","","ts rwd petrol","Grey District","6-gear auto",0,"passenger car/van","private passenger",2011
13711,"red","hatchback",1597,"",2011,9,1770,0,"new","Chery","J3","petrol",2,5,"imported built-up","China",87,"None","","1.6p 5d 5sp","Dunedin City","5-gear manual",0,"passenger car/van","private passenger",2011
13712,"silver","station wagon",1998,"nt30-01",2010,10,1655,0,"used","Nissan","X-trail","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Dunedin City","",0,"passenger car/van","private passenger",2001
13713,"grey","hatchback",1999,"",2012,4,2200,0,"new","Ford","Mondeo","petrol",2,5,"imported built-up","Belgium",149,"None","","2.0p 6s auto","Auckland","6-gear auto",0,"passenger car/van","private passenger",2012
13714,"white","utility",2982,"",2009,5,2780,0,"new","Toyota","Hilux","diesel",2,5,"imported built-up","Thailand",126,"None","log haulage","3.0td 4wd dc 5m","Ruapehu District","5-gear manual",0,"goods van/truck/utility","private passenger",2009
13715,"green","saloon",3564,"",2012,2,0,0,"new","Holden","Commodore","petrol",2,5,"imported built-up","Australia",210,"None","","sv6 sdn at","Hamilton City","6-gear auto",0,"passenger car/van","private passenger",2012
13716,"yellow","domestic trailer",0,"",2011,3,1910,0,"new","Trailer","Vermeer Bc1000xl","",2,0,"imported built-up","United States",0,"None","","","Auckland","",0,"trailer/caravan","other goods",2011
13717,"white","light van",2982,"",2011,11,2800,0,"new","Toyota","Hiace","diesel",2,3,"imported built-up","Japan",80,"None","","3.0dt zl 5m 3 seat","Auckland","5-gear manual",0,"goods van/truck/utility","private passenger",2011
13718,"blue","sports car",5000,"",1979,5,0,0,"new","Holden","Hq","petrol",0,5,"unknown","Not Known",0,"None","","monaro","Hamilton City","",0,"passenger car/van","private passenger",1972
13719,"silver","station wagon",2457,"",2012,3,0,0,"new","Subaru","Outback","petrol",2,5,"imported built-up","Japan",123,"None","","25i 6mt","New Plymouth District","6-gear manual",0,"passenger car/van","private passenger",2012
13720,"white","hatchback",1597,"",2011,9,1770,0,"new","Chery","J3","petrol",2,5,"imported built-up","China",87,"None","","1.6p 5d 5sp","Dunedin City","5-gear manual",0,"passenger car/van","rental",2011
13721,"silver","saloon",2457,"",2012,5,0,0,"new","Subaru","Legacy","petrol",2,5,"imported built-up","Japan",123,"None","","2.5i sport cvt sed","Auckland","continuously variable",0,"passenger car/van","private passenger",2012
13722,"grey","hatchback",2260,"bk3p-20",2011,12,1555,0,"used","Mazda","Axela","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Dunedin City","",0,"passenger car/van","private passenger",2005
13723,"black","station wagon",2263,"gy3w-50",2011,7,1725,0,"used","Mazda","Atenza","petrol",0,50,"imported built-up","Japan",0,"Japan","","","Lower Hutt City","",0,"passenger car/van","private passenger",2005
13724,"white","station wagon",2260,"gy3w-11",2011,12,1695,0,"used","Mazda","Atenza","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Lower Hutt City","",0,"passenger car/van","private passenger",2003
13725,"green","saloon",2362,"",2009,11,2015,0,"new","Toyota","Camry","petrol",2,5,"imported built-up","Australia",117,"None","","2.4p gl sedan 5a","Auckland","5-gear auto",0,"passenger car/van","private passenger",2009
13726,"red","station wagon",2960,"lwfw-10",2012,1,2105,0,"used","Mazda","Mpv","petrol",0,7,"imported built-up","Japan",0,"Japan","","","Marlborough District","",0,"passenger car/van","private passenger",2002
13727,"grey","station wagon",3456,"",2008,10,2720,0,"new","Toyota","Highlander","petrol",2,7,"imported built-up","Japan",201,"None","","3.5p ltd 4wd wgn5 5a","Christchurch City","5-gear auto",0,"passenger car/van","private passenger",2008
13728,"white","station wagon",2261,"",2011,10,2265,0,"new","Ford","Mondeo","petrol",2,5,"imported built-up","Belgium",118,"None","","wag 2.3 auto","Hamilton City","6-gear auto",0,"passenger car/van","private passenger",2011
13729,"grey","boat trailer",0,"",2006,8,0,0,"new","Trailer","Home Built","",2,0,"nz assembled/built","New Zealand",0,"None","","","Auckland","",0,"trailer/caravan","other goods",2006
13730,"white","hatchback",1460,"z27a-51",2009,11,1295,0,"used","Mitsubishi","Colt","petrol",0,5,"imported built-up","Japan",0,"Japan","","","Napier City","",0,"passenger car/van","private passenger",2004
13731,"green","saloon",3564,"",2011,8,0,0,"new","Holden","Commodore","petrol",2,5,"imported built-up","Australia",215,"None","","sv6 sedan at","Waikato District","6-gear auto",0,"passenger car/van","private passenger",2011
13732,"blue","station wagon",2362,"acm21-0",2012,6,1875,0,"used","Toyota","Ipsum","petrol",2,7,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2009
13733,"silver","domestic trailer",0,"1155275",2011,7,1000,0,"new","Briford","8x4","",2,0,"nz assembled/built","New Zealand",0,"None","","","Auckland","",0,"trailer/caravan","other goods",2011
13734,"white","hatchback",1372,"",2011,12,0,0,"new","Suzuki","Swift","petrol",2,5,"imported built-up","Japan",70,"None","","glxa 1.4 5dr","Marlborough District","4-gear auto",0,"passenger car/van","private passenger",2011
13735,"silver","station wagon",2261,"",2010,3,2190,0,"new","Mazda","Cx7","petrol",2,5,"imported built-up","Japan",175,"None","","wagon 6at","Central Otago District","6-gear auto",0,"passenger car/van","private passenger",2010
13736,"grey","station wagon",2489,"",2010,2,1914,0,"new","Mazda","Mazda6","petrol",2,5,"imported built-up","Japan",125,"None","","wagon gsx 2.5 5at","Auckland","5-gear auto",0,"passenger car/van","private passenger",2010
13737,"silver","saloon",1998,"",2010,2,1818,0,"new","Mazda","Mazda6","petrol",2,5,"imported built-up","Japan",108,"None","","sedan glx 2.0 5at","Auckland","5-gear auto",0,"passenger car/van","private passenger",2010
13738,"black","saloon",3564,"",2012,6,0,0,"new","Holden","Commodore","petrol",2,5,"imported built-up","Australia",210,"None","","sv6 sdn at","Hamilton City","6-gear auto",0,"passenger car/van","private passenger",2012
