"objectid","basic_colour","body_type","cc_rating","chassis7","first_nz_registration_year","first_nz_registration_month","gross_vehicle_mass","height","import_status","make","model","motive_power","number_of_axles","number_of_seats","nz_assembled","original_country","power_rating","previous_country","road_transport_code","submodel","TLA","transmission_type","vdam_weight","vehicle_type","vehicle_usage","vehicle_year"
6001,"white","station wagon",2199,"",2011,9,2510,0,"new","Kia","Sorento","diesel",0,7,"imported built-up","South Korea",145,"None","","2.2 diesel auto ex","Dunedin City","6-gear auto",0,"passenger car/van","private passenger",2011
6002,"silver","station wagon",2354,"",2012,1,2270,0,"new","Honda","Odyssey","petrol",2,7,"imported built-up","Japan",133,"None","","s","Hauraki District","5-gear auto",0,"passenger car/van","private passenger",2012
6003,"grey","hatchback",2261,"",2009,4,2165,0,"new","Ford","Mondeo","petrol",2,5,"imported built-up","Belgium",118,"None","","mondeo zetec 2.3 aut","Kapiti Coast District","6-gear auto",0,"passenger car/van","private passenger",2009
6004,"blue","hatchback",1798,"",2008,10,1805,0,"new","Toyota","Corolla","petrol",2,5,"imported built-up","Japan",100,"None","","1.8p gx hatch 5 4a","Christchurch City","4-gear auto",0,"passenger car/van","private passenger",2008
6005,"blue","saloon",2990,"mcv30-6",2012,4,1795,0,"used","Toyota","Windom","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Lower Hutt City","",0,"passenger car/van","private passenger",2005
6006,"silver","boat trailer",0,"tw008",2012,3,2000,0,"new","Trailer","Trailerworx Boat","",2,0,"nz assembled/built","New Zealand",0,"None","","","Auckland","",0,"trailer/caravan","other goods",2012
6007,"silver","station wagon",1990,"azt250-",2011,4,1685,0,"used","Toyota","Avensis","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Christchurch City","",0,"passenger car/van","private passenger",2003
6008,"black","station wagon",1496,"ncp21-0",2010,3,1325,0,"used","Toyota","Funcargo","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2001
6009,"white","utility",3199,"",2012,4,3200,0,"new","Ford","Ranger","diesel",2,5,"imported built-up","Thailand",147,"None","","3.2td xlt dc w/sa4x4","Tasman District","6-gear auto",0,"goods van/truck/utility","other goods",2012
6010,"white","light van",2351,"",2011,6,2505,0,"new","Mitsubishi","L300","petrol",0,3,"imported built-up","Japan",99,"None","","2.4p lwb 5 door","Christchurch City","5-gear manual",0,"goods van/truck/utility","private passenger",2011
6011,"blue","hatchback",1998,"",2011,12,1758,0,"new","Mazda","Mazda3","petrol",2,5,"imported built-up","Japan",113,"None","","hatch gse 2.0 6a sky","Auckland","6-gear auto",0,"passenger car/van","private passenger",2011
6012,"silver","hatchback",1499,"",2012,8,1490,0,"new","Mitsubishi","Colt","petrol",0,5,"imported built-up","Japan",78,"None","","1.5p ls 5dr","Hamilton City","continuously variable",0,"passenger car/van","private passenger",2012
6013,"white","saloon",1460,"cs2a-07",2010,9,1405,0,"used","Mitsubishi","Lancer","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2005
6014,"blue","saloon",1598,"",2012,8,1698,0,"new","Holden","Barina","petrol",2,5,"imported built-up","South Korea",85,"None","","1.6 sedan at","Whangarei District","6-gear auto",0,"passenger car/van","private passenger",2012
6015,"gold","saloon",1496,"ncp12-0",2012,7,1215,0,"used","Toyota","Platz","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Whanganui District","",0,"passenger car/van","private passenger",2000
6016,"silver","station wagon",2359,"",2011,8,2050,0,"new","Kia","Sportage","petrol",0,5,"imported built-up","South Korea",130,"None","","2.4 petrol auto","Auckland","6-gear auto",0,"passenger car/van","private passenger",2011
6017,"red","hatchback",1598,"",2010,9,1550,0,"new","Holden","Barina","petrol",2,5,"imported built-up","South Korea",77,"None","","5dr hatch manual","Central Otago District","5-gear manual",0,"passenger car/van","private passenger",2010
6018,"gold","station wagon",2362,"acr30-0",2011,9,2070,0,"used","Toyota","Estima","petrol",2,8,"imported built-up","Japan",0,"Japan","","l x","Auckland","",0,"passenger car/van","private passenger",2001
6019,"white","utility",2499,"",2011,10,2870,0,"new","Ford","Ranger","diesel",2,3,"imported built-up","Thailand",105,"None","","2.5td s/c w/s 4x2","Christchurch City","5-gear manual",0,"goods van/truck/utility","private passenger",2011
6020,"blue","saloon",1797,"",2011,9,1740,0,"new","Hyundai","Lantra","petrol",2,5,"imported built-up","South Korea",110,"None","","1.8 elite","Invercargill City","6-gear auto",0,"passenger car/van","private passenger",2011
6021,"blue","saloon",1797,"",2011,7,1740,0,"new","Hyundai","Lantra","petrol",2,5,"imported built-up","South Korea",110,"None","","1.8 elite","Auckland","6-gear auto",0,"passenger car/van","private passenger",2011
6022,"blue","hatchback",1496,"nze151-",2012,9,1515,0,"used","Toyota","Auris","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Christchurch City","",0,"passenger car/van","private passenger",2007
6023,"silver","station wagon",2970,"",2011,10,2375,0,"used","Bmw","X5","petrol",2,5,"imported built-up","United Kingdom",0,"Japan","","","Christchurch City","",0,"passenger car/van","private passenger",2003
6024,"red","saloon",1980,"wvwzzz9",2008,7,1575,0,"used","Volkswagen","Beetle","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2001
6025,"gold","saloon",2850,"82369jh",1972,8,0,0,"new","Holden","Torana","petrol",0,5,"unknown","Not Known",0,"None","","","Waikato District","",0,"passenger car/van","private passenger",1972
6026,"green","saloon",1275,"aa4d236",1972,5,0,0,"new","Austin","1300gt","petrol",0,5,"unknown","Not Known",0,"None","","","Thames-coromandel District","",0,"passenger car/van","private passenger",1972
6027,"black","utility",3196,"",2012,2,3200,0,"new","Mazda","Bt-50","diesel",2,5,"imported built-up","Thailand",147,"None","","2wd gsx d/c w/s 6at","Auckland","6-gear auto",0,"goods van/truck/utility","private passenger",2012
6028,"blue","saloon",1998,"azt240-",2012,9,1515,0,"used","Toyota","Allion","petrol",0,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2006
6029,"silver","station wagon",2199,"",2011,8,2620,0,"new","Hyundai","Santa Fe","diesel",2,5,"imported built-up","South Korea",145,"None","","2.2r crdi a6 5s suv","Palmerston North City","6-gear auto",0,"passenger car/van","private passenger",2011
6030,"silver","hatchback",1499,"",2011,3,1490,0,"new","Mitsubishi","Colt","petrol",0,5,"imported built-up","Japan",78,"None","","1.5p ls 5dr hatch a","Christchurch City","continuously variable",0,"passenger car/van","private passenger",2011
6031,"black","station wagon",2405,"",2010,9,2291,0,"new","Holden","Captiva","petrol",2,5,"imported built-up","South Korea",103,"None","","5 2.4l awd at","Lower Hutt City","5-gear auto",0,"passenger car/van","private passenger",2010
6032,"white","utility",2953,"",2011,8,3032,0,"new","Ford","Ranger","diesel",2,4,"imported built-up","Thailand",115,"None","","3.0td suprc w/s 4x4","Invercargill City","5-gear manual",0,"goods van/truck/utility","private passenger",2011
6033,"silver","station wagon",1794,"zne10-0",2012,9,1685,0,"used","Toyota","Wish","petrol",0,7,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2004
6034,"silver","domestic trailer",0,"1152798",2012,6,750,0,"new","Briford","7x4","",2,0,"nz assembled/built","New Zealand",0,"None","","","Central Otago District","",0,"trailer/caravan","other goods",2012
6035,"red","hatchback",1372,"",2011,7,0,0,"new","Suzuki","Swift","petrol",2,5,"imported built-up","Japan",70,"None","","ltda 1.4 5dr","Napier City","5-gear manual",0,"passenger car/van","private passenger",2011
6036,"blue","saloon",1797,"",2011,8,1740,0,"new","Hyundai","Lantra","petrol",2,5,"imported built-up","South Korea",110,"None","","1.8 elite","Far North District","6-gear auto",0,"passenger car/van","private passenger",2011
6037,"green","motorcycle",49,"af24-14",2012,9,0,0,"used","Honda","Giorno","petrol",2,0,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"moped","private passenger",1992
6038,"blue","station wagon",2350,"cw5w-51",2012,9,2005,0,"used","Mitsubishi","Outlander","petrol",0,5,"imported built-up","Japan",0,"Japan","","","Dunedin City","",0,"passenger car/van","private passenger",2007
6039,"grey","hatchback",1499,"",2011,3,1490,0,"new","Mitsubishi","Colt","petrol",0,5,"imported built-up","Japan",78,"None","","1.5p ls 5dr hatch a","Auckland","continuously variable",0,"passenger car/van","private passenger",2011
6040,"red","hatchback",1372,"",2011,8,0,0,"new","Suzuki","Swift","petrol",2,5,"imported built-up","Japan",70,"None","","ltda 1.4 5dr","Waimakariri District","5-gear manual",0,"passenger car/van","private passenger",2011
6041,"green","hatchback",1490,"",2010,12,1470,0,"new","Suzuki","Swift","petrol",2,5,"imported built-up","Japan",75,"None","","glxhas 1.5 5dr","Selwyn District","5-gear manual",0,"passenger car/van","private passenger",2010
6042,"silver","saloon",1798,"",2009,9,1785,0,"new","Toyota","Corolla","petrol",2,5,"imported built-up","Japan",100,"None","","1.8p gx sedan 4 4a","Whangarei District","4-gear auto",0,"passenger car/van","private passenger",2009
6043,"black","saloon",4395,"",2012,8,2430,0,"new","Bmw","550i","petrol",2,5,"imported built-up","Germany",300,"None","","sedan 8a 4dr 4.5l","Auckland","8-gear auto",0,"passenger car/van","private passenger",2012
6044,"grey","station wagon",2260,"ly3p-15",2012,8,2270,0,"used","Mazda","Mpv","petrol",2,8,"imported built-up","Japan",0,"Japan","","","Christchurch City","",0,"passenger car/van","private passenger",2007
6045,"red","hatchback",1498,"",2009,10,1484,0,"new","Mazda","Mazda2","petrol",2,5,"imported built-up","Japan",76,"None","","sport 5 dr 1.5 4at","Auckland","4-gear auto",0,"passenger car/van","private passenger",2009
6046,"white","hatchback",1372,"",2011,7,0,0,"new","Suzuki","Swift","petrol",2,5,"imported built-up","Japan",70,"None","","gl 1.4 5dr","Waitaki District","5-gear manual",0,"passenger car/van","private passenger",2011
6047,"white","saloon",1797,"",2011,9,1740,0,"new","Hyundai","Lantra","petrol",2,5,"imported built-up","South Korea",110,"None","","1.8 elite","Auckland","6-gear auto",0,"passenger car/van","private passenger",2011
6048,"red","hatchback",1372,"",2011,7,0,0,"new","Suzuki","Swift","petrol",2,5,"imported built-up","Japan",70,"None","","ltda 1.4 5dr","Horowhenua District","5-gear manual",0,"passenger car/van","private passenger",2011
6049,"green","hatchback",1490,"",2010,10,1470,0,"new","Suzuki","Swift","petrol",2,5,"imported built-up","Japan",75,"None","","glxhas 1.5 5dr","Marlborough District","5-gear manual",0,"passenger car/van","private passenger",2010
6050,"silver","hatchback",1490,"",2010,9,1470,0,"new","Suzuki","Swift","petrol",2,5,"imported built-up","Japan",75,"None","","glxhas 1.5 5dr","Grey District","5-gear manual",0,"passenger car/van","private passenger",2010
6051,"white","hatchback",1490,"",2011,5,1470,0,"new","Suzuki","Swift","petrol",2,5,"imported built-up","Japan",75,"None","","glxhas 1.5 5dr","Wellington City","5-gear manual",0,"passenger car/van","private passenger",2011
6052,"red","station wagon",1975,"",2011,9,1880,0,"new","Hyundai","I30","petrol",2,5,"imported built-up","South Korea",105,"None","","wagon 2.0 elite a4","Whakatane District","4-gear auto",0,"passenger car/van","private passenger",2011
6053,"blue","hatchback",1598,"",2010,10,1550,0,"new","Holden","Barina","petrol",2,5,"imported built-up","South Korea",77,"None","","5dr hatch manual","Christchurch City","5-gear manual",0,"passenger car/van","private passenger",2010
6054,"yellow","mobile machine",5664,"e7e1681",1994,10,0,0,"new","Hyster","H1200xl","diesel",0,0,"unknown","United States",0,"None","","","Auckland","",0,"mobile machine","other",1994
6055,"grey","hatchback",1598,"",2011,2,1570,0,"new","Holden","Barina","petrol",2,5,"imported built-up","South Korea",77,"None","","5dr hatch auto","Tasman District","4-gear auto",0,"passenger car/van","private passenger",2011
6056,"blue","saloon",1797,"",2011,10,1740,0,"new","Hyundai","Lantra","petrol",2,5,"imported built-up","South Korea",110,"None","","1.8 elite","Auckland","6-gear auto",0,"passenger car/van","private passenger",2011
6057,"black","saloon",1797,"",2011,9,1740,0,"new","Hyundai","Lantra","petrol",2,5,"imported built-up","South Korea",110,"None","","1.8 elite","Auckland","6-gear auto",0,"passenger car/van","private passenger",2011
6058,"black","station wagon",1998,"",2012,4,1995,0,"new","Hyundai","Ix35","petrol",2,5,"imported built-up","South Korea",122,"None","","2.0 2wd a6","Western Bay Of Plenty District","6-gear auto",0,"passenger car/van","private passenger",2012
6059,"silver","station wagon",2362,"",2012,7,2100,0,"new","Toyota","Rav4","petrol",2,5,"imported built-up","Japan",125,"None","","2.4 4wd ltd wagon 4a","Tasman District","4-gear auto",0,"passenger car/van","private passenger",2012
6060,"red","domestic trailer",0,"",2012,9,2498,0,"new","Trailer","Ifor Williams","",2,0,"imported built-up","United Kingdom",0,"None","","","Ashburton District","",0,"trailer/caravan","other goods",2012
6061,"silver","station wagon",1998,"",2011,7,1995,0,"new","Hyundai","Ix35","petrol",2,5,"imported built-up","South Korea",122,"None","","2.0 2wd a6","Wellington City","6-gear auto",0,"passenger car/van","private passenger",2011
6062,"grey","hatchback",1290,"scp90-5",2012,3,1285,0,"used","Toyota","Vitz","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2006
6063,"silver","station wagon",1990,"gyew-40",2012,9,1685,0,"used","Mazda","Atenza","petrol",0,5,"imported built-up","Japan",0,"Japan","","","Wellington City","",0,"passenger car/van","private passenger",2005
6064,"black","hatchback",1598,"",2010,10,1550,0,"new","Holden","Barina","petrol",2,5,"imported built-up","South Korea",77,"None","","5dr hatch manual","Invercargill City","5-gear manual",0,"passenger car/van","private passenger",2010
6065,"silver","station wagon",1998,"",2011,8,2180,0,"new","Ssangyong","Korando","diesel",2,5,"imported built-up","South Korea",129,"None","","4x2 auto diesel","Auckland","6-gear auto",0,"passenger car/van","private passenger",2011
6066,"silver","hatchback",1596,"",2011,8,1540,0,"new","Ford","Fiesta","petrol",2,5,"imported built-up","Thailand",88,"None","","5dr 1.6 a zetec","Hamilton City","6-gear auto",0,"passenger car/van","private passenger",2011
6067,"black","hatchback",1596,"",2011,8,1540,0,"new","Ford","Fiesta","petrol",2,5,"imported built-up","Thailand",88,"None","","5dr 1.6 a zetec","Waimakariri District","6-gear auto",0,"passenger car/van","private passenger",2011
6068,"blue","hatchback",1396,"",2012,1,1565,0,"new","Hyundai","I20","petrol",2,5,"imported built-up","India",100,"None","","1.4 a4","Wellington City","4-gear auto",0,"passenger car/van","private passenger",2012
6069,"blue","saloon",1991,"",2010,9,1506,0,"new","Holden","Cruze","diesel",2,5,"imported built-up","South Korea",110,"None","","cdx diesel auto","Hamilton City","6-gear auto",0,"passenger car/van","private passenger",2010
6070,"blue","hatchback",1490,"",2010,11,1470,0,"new","Suzuki","Swift","petrol",2,5,"imported built-up","Japan",75,"None","","glxhs 1.5 5dr","Auckland","5-gear manual",0,"passenger car/van","private passenger",2010
6071,"blue","hatchback",1598,"",2012,3,1681,0,"new","Holden","Barina","petrol",2,5,"imported built-up","South Korea",85,"None","","1.6 hatch at","Tauranga City","6-gear auto",0,"passenger car/van","private passenger",2012
6072,"grey","station wagon",2250,"ra6-105",2008,11,1995,0,"used","Honda","Odyssey","petrol",0,7,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2000
6073,"white","station wagon",1998,"whp11-2",2008,8,1635,0,"used","Nissan","Primera","petrol",0,5,"imported built-up","Japan",0,"Japan","","m6","Wellington City","",0,"passenger car/van","private passenger",1999
6074,"red","hatchback",1330,"gd1-110",2009,4,1265,0,"used","Honda","Fit","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2002
6075,"silver","hatchback",1997,"",2011,12,2050,0,"new","Ford","Focus","diesel",2,5,"imported built-up","Germany",120,"None","","trend 2.0 auto h dsl","Auckland","6-gear auto",0,"passenger car/van","private passenger",2011
6076,"orange","hatchback",1995,"",2012,7,1675,0,"new","Suzuki","Sx4","petrol",2,5,"imported built-up","Japan",107,"None","","glxfcb 2.0 5dr","Rotorua District","continuously variable",0,"passenger car/van","private passenger",2012
6077,"white","station wagon",2393,"",2011,4,2100,0,"new","Suzuki","Grand Vitara","petrol",2,5,"imported built-up","Japan",122,"None","","wjlx 2.4 5dr","Invercargill City","5-gear manual",0,"passenger car/van","private passenger",2011
6078,"silver","station wagon",4160,"",2011,3,2075,0,"used","Audi","S4","petrol",2,5,"imported built-up","Germany",0,"Japan","","","Hamilton City","",0,"passenger car/van","private passenger",2005
6079,"red","saloon",999,"scp11-0",2012,7,1145,0,"used","Toyota","Platz","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2000
6080,"black","station wagon",3605,"",2012,4,2540,0,"new","Dodge","Journey","petrol",2,7,"imported built-up","Other",206,"None","","3.6l petrol auto r/t","Waikato District","6-gear auto",0,"passenger car/van","private passenger",2012
6081,"white","saloon",1590,"",2011,4,1360,0,"used","Bmw","Mini","petrol",0,4,"imported built-up","Germany",0,"Japan","","cooper","Palmerston North City","",0,"passenger car/van","private passenger",2004
6082,"black","station wagon",1490,"gg2-048",2011,5,1505,0,"used","Subaru","Impreza","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2004
6083,"blue","station wagon",2720,"",2012,9,2590,0,"new","Ford","Territory","diesel",2,7,"imported built-up","Australia",140,"None","","ts rwd diesel","Whakatane District","6-gear auto",0,"passenger car/van","private passenger",2012
6084,"white","light van",2351,"",2012,3,2305,0,"new","Mitsubishi","L300","petrol",0,3,"imported built-up","Japan",99,"None","","2.4p swb 4 door","Christchurch City","5-gear manual",0,"goods van/truck/utility","private passenger",2012
6085,"green","hatchback",1240,"zfa1880",2008,12,1335,0,"used","Fiat","Punto","petrol",2,5,"imported built-up","France",0,"Japan","","","Whakatane District","",0,"passenger car/van","private passenger",2002
6086,"silver","station wagon",1995,"rm12-10",2011,3,1885,0,"used","Nissan","Liberty","petrol",0,7,"imported built-up","Japan",0,"Japan","","","Tararua District","",0,"passenger car/van","private passenger",2002
6087,"blue","hatchback",1995,"",2011,3,1675,0,"new","Suzuki","Sx4","petrol",2,5,"imported built-up","Japan",107,"None","","glxfcb2 2.0 5dr ltd","Palmerston North City","continuously variable",0,"passenger car/van","private passenger",2011
6088,"blue","domestic trailer",0,"",2012,8,0,0,"new","Homebuilt","Domestic Trailer","",2,0,"nz assembled/built","New Zealand",0,"None","","","Tasman District","",0,"trailer/caravan","other goods",2012
6089,"brown","utility",2477,"",2011,5,2930,0,"new","Mitsubishi","Triton","diesel",0,5,"imported built-up","Thailand",133,"None","","4wd 2.5d d/cab gls m","South Taranaki District","5-gear manual",0,"goods van/truck/utility","private passenger",2011
6090,"blue","station wagon",2350,"rb2-305",2012,8,2065,0,"used","Honda","Odyssey","petrol",0,7,"imported built-up","Japan",0,"Japan","","","Dunedin City","",0,"passenger car/van","private passenger",2004
6091,"white","hatchback",1340,"z25a-51",2012,3,1295,0,"used","Mitsubishi","Colt","petrol",0,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2004
6092,"blue","hatchback",1998,"",2011,11,1780,0,"new","Kia","Cerato","petrol",0,5,"imported built-up","South Korea",114,"None","","2.0 petrol auto sx","Masterton District","6-gear auto",0,"passenger car/van","private passenger",2011
6093,"silver","utility",3199,"",2012,7,3200,0,"new","Ford","Ranger","diesel",2,5,"imported built-up","Thailand",147,"None","","3.2td xlt dc w/sa4x4","Hastings District","6-gear auto",0,"goods van/truck/utility","private passenger",2012
6094,"brown","station wagon",1998,"",2012,8,1970,0,"new","Mitsubishi","Asx","petrol",0,5,"imported built-up","Japan",112,"None","","2wd 2.0p cvt ls","Invercargill City","continuously variable",0,"passenger car/van","private passenger",2012
6095,"red","hatchback",1596,"",2011,7,1540,0,"new","Ford","Fiesta","petrol",2,5,"imported built-up","Thailand",88,"None","","5dr 1.6 lx a","Auckland","6-gear auto",0,"passenger car/van","private passenger",2011
6096,"blue","station wagon",1990,"b30-020",2012,9,1805,0,"used","Nissan","Lafesta","petrol",2,7,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2005
6097,"blue","station wagon",3940,"",2012,9,2505,0,"used","Land Rover","Discovery","petrol",2,7,"imported built-up","United Kingdom",0,"Japan","","","Queenstown-lakes District","",0,"passenger car/van","private passenger",2003
6098,"white","mobile machine",3769,"a3p6123",2012,9,1508,0,"new","Mobile Machine","Bobcat  A770","diesel",0,0,"imported built-up","United States",0,"None","","","Palmerston North City","",0,"mobile machine","other",2012
6099,"grey","station wagon",1998,"",2011,2,1970,0,"new","Mitsubishi","Asx","petrol",0,5,"imported built-up","Japan",112,"None","","2wd 2.0p cvt sport","Christchurch City","continuously variable",0,"passenger car/van","private passenger",2011
6100,"black","saloon",1796,"",2010,12,0,0,"new","Holden","Cruze","petrol",2,5,"imported built-up","South Korea",104,"None","","cdx 1.8 at","Kapiti Coast District","6-gear auto",0,"passenger car/van","private passenger",2010
6101,"black","utility",2999,"",2010,9,2800,0,"new","Holden","Colorado","diesel",2,5,"imported built-up","Thailand",120,"None","","4x2 lt crw pu dsl at","Auckland","4-gear auto",0,"goods van/truck/utility","private passenger",2010
6102,"red","hatchback",1490,"",2010,11,1470,0,"new","Suzuki","Swift","petrol",2,5,"imported built-up","Japan",75,"None","","glxa 1.5 5dr","Gore District","4-gear auto",0,"passenger car/van","private passenger",2010
6103,"silver","station wagon",1998,"wtp12-0",2011,9,1625,0,"used","Nissan","Primera","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Christchurch City","",0,"passenger car/van","private passenger",2002
6104,"black","saloon",1990,"gges-40",2012,9,1675,0,"used","Mazda","Atenza","petrol",0,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2006
6105,"silver","station wagon",2250,"ra6-122",2010,9,2015,0,"used","Honda","Odyssey","petrol",0,7,"imported built-up","Japan",0,"Japan","","","Timaru District","",0,"passenger car/van","private passenger",2002
6106,"grey","station wagon",1790,"jy12-00",2011,11,1515,0,"used","Nissan","Wingroad","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Upper Hutt City","",0,"passenger car/van","private passenger",2006
6107,"silver","hatchback",1298,"",2010,9,1465,0,"new","Toyota","Yaris","petrol",2,5,"imported built-up","Japan",64,"None","","t130 1.3p hatch5 4a","Kapiti Coast District","4-gear auto",0,"passenger car/van","private passenger",2010
6108,"brown","utility",2477,"",2012,2,2930,0,"new","Mitsubishi","Triton","diesel",0,5,"imported built-up","Thailand",133,"None","","4wd 2.5d d/cab gls m","Auckland","5-gear manual",0,"goods van/truck/utility","private passenger",2012
6109,"black","saloon",2970,"wbadt62",2012,1,1885,0,"used","Bmw","530i","petrol",0,5,"imported built-up","Germany",0,"Japan","","","Porirua City","",0,"passenger car/van","private passenger",2001
6110,"black","station wagon",1990,"tc24-12",2011,8,2010,0,"used","Nissan","Serena","petrol",2,8,"imported built-up","Japan",0,"Japan","","","Porirua City","",0,"passenger car/van","private passenger",2002
6111,"silver","domestic trailer",0,"8640",2012,8,0,0,"new","Trailer","Elite 7x4","",2,0,"nz assembled/built","New Zealand",0,"None","","","Ashburton District","",0,"trailer/caravan","other goods",2012
6112,"silver","domestic trailer",0,"6580",2010,1,2000,0,"new","Trailer","Elite 8 X 5 Tandem","",2,0,"nz assembled/built","New Zealand",0,"None","","","Christchurch City","",0,"trailer/caravan","other goods",2010
6113,"red","utility",3196,"",2011,10,3200,0,"new","Mazda","Bt-50","diesel",2,5,"imported built-up","Thailand",147,"None","","4wd ltd d/c w/s 6at","Hamilton City","6-gear auto",0,"goods van/truck/utility","private passenger",2011
6114,"silver","station wagon",1490,"eu1-120",2010,11,1425,0,"used","Honda","Civic","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Christchurch City","",0,"passenger car/van","private passenger",2001
6115,"white","saloon",2268,"gg3s-10",2011,9,1665,0,"used","Mazda","Atenza","petrol",0,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2002
6116,"black","station wagon",2199,"",2011,9,2510,0,"new","Kia","Sorento","diesel",0,7,"imported built-up","South Korea",145,"None","","2.2 diesel auto ltd","Queenstown-lakes District","6-gear auto",0,"passenger car/van","private passenger",2011
6117,"blue","saloon",1996,"be5-102",2010,3,1755,0,"used","Subaru","Legacy","petrol",0,5,"imported built-up","Japan",0,"Japan","","b4","Wellington City","",0,"passenger car/van","private passenger",2002
6118,"blue","hatchback",1999,"",2009,5,1905,0,"new","Ford","Focus","petrol",2,5,"imported built-up","Germany",107,"None","","2.0 auto","Lower Hutt City","4-gear auto",0,"passenger car/van","private passenger",2009
6119,"black","station wagon",1980,"wauzzz8",2011,4,1815,0,"used","Audi","A4","petrol",2,5,"imported built-up","Germany",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2003
6120,"silver","hatchback",1596,"",2012,9,1505,0,"new","Ford","Fiesta","petrol",2,5,"imported built-up","Thailand",88,"None","","5dr 1.6 m zetec","Napier City","5-gear manual",0,"passenger car/van","private passenger",2012
6121,"silver","domestic trailer",0,"j12-062",2012,3,1200,0,"new","Pinto","Wellside Extra","",2,0,"nz assembled/built","New Zealand",0,"None","","","Auckland","",0,"trailer/caravan","other goods",2012
6122,"blue","station wagon",1330,"ge6-104",2011,5,1285,0,"used","Honda","Fit","petrol",0,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2008
6123,"white","saloon",1990,"cf4-130",2011,4,1595,0,"used","Honda","Torneo","petrol",0,5,"imported built-up","Japan",0,"Japan","","","Rotorua District","",0,"passenger car/van","private passenger",2001
6124,"blue","station wagon",5967,"",2010,11,0,0,"re-reg","Holden","Commodore","petrol",2,5,"imported built-up","Australia",260,"None","","sportwgn ssv at","Auckland","6-gear auto",0,"passenger car/van","private passenger",2010
6125,"green","saloon",5041,"8569tcz",1973,12,0,0,"re-reg","Holden","Statesman","petrol",0,5,"nz assembled/built","New Zealand",0,"None","","","Timaru District","",0,"passenger car/van","private passenger",1973
6126,"grey","saloon",1796,"",2012,9,2060,0,"new","Holden","Cruze","petrol",2,5,"imported built-up","Australia",104,"None","","cd sdn 1.8 at","Auckland","6-gear auto",0,"passenger car/van","private passenger",2012
6127,"gold","station wagon",2990,"bpe-020",2010,8,1795,0,"used","Subaru","Outback","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Christchurch City","",0,"passenger car/van","private passenger",2004
6128,"silver","station wagon",1990,"sv50-00",2008,8,1655,0,"used","Toyota","Vista","petrol",0,5,"imported built-up","Japan",0,"Japan","","","Waipa District","",0,"passenger car/van","private passenger",1999
6129,"red","station wagon",1998,"nj10-01",2009,7,1735,0,"used","Nissan","Dualis","petrol",0,5,"imported built-up","Japan",0,"Japan","","","Auckland","",0,"passenger car/van","private passenger",2007
6130,"silver","hatchback",1496,"nze121-",2010,7,1365,0,"used","Toyota","Corolla","petrol",0,5,"imported built-up","Japan",0,"Japan","","runx x","Tauranga City","",0,"passenger car/van","private passenger",2005
6131,"black","hatchback",1372,"",2011,2,0,0,"new","Suzuki","Swift","petrol",2,5,"imported built-up","Japan",70,"None","","ltda 1.4 5dr","Palmerston North City","5-gear manual",0,"passenger car/van","private passenger",2011
6132,"black","saloon",2993,"",2011,1,2060,0,"new","Bmw","325d","diesel",2,5,"imported built-up","Germany",150,"None","","sedan 6a 4dr 3.0l","Tauranga City","6-gear auto",0,"passenger car/van","private passenger",2011
6133,"green","hatchback",1298,"ncp10-0",2011,3,1195,0,"used","Toyota","Vitz","petrol",2,5,"imported built-up","Japan",0,"Japan","","clavia","Auckland","",0,"passenger car/van","private passenger",2000
